city,category,sale.dollars,sale.volume
Carroll,Brandy,26627,1937
Carroll,Rum,432194,30582
Carroll,Vodka,341719,30161
Carroll,Tequila,74491,4522
Carroll,Distilled Spirits,27100,3281
Carroll,Gin,28575,2285
Carroll,Amaretto,9582,1204
Carroll,Schnapps,77124,5684
Sioux City,Misc,845599,47401
Sioux City,Amaretto,36187,3049
Sioux City,Whisky,3026140,184598
Sioux City,Rum,1246540,87511
Sioux City,Tequila,700217,38155
Sioux City,Vodka,1788655,149493
Sioux City,Distilled Spirits,39353,3244
Sioux City,Gin,203947,14723
Sioux City,Brandy,386661,20107
Sioux City,Schnapps,511272,33156
Denison,Misc,84709,4868
Denison,Tequila,72701,3682
Denison,Whisky,460831,33369
Denison,Brandy,30536,1929
Denison,Vodka,182684,17771
Denison,Rum,189255,13606
Denison,Schnapps,63509,4781
Denison,Distilled Spirits,11069,1272
Denison,Gin,17735,1528
Denison,Amaretto,4893,502
Cherokee,Misc,57580,3829
Cherokee,Tequila,26964,1510
Cherokee,Whisky,290255,21623
Cherokee,Brandy,19053,1505
Cherokee,Rum,100444,6985
Cherokee,Distilled Spirits,7517,798
Cherokee,Gin,17069,1433
Cherokee,Vodka,112432,11275
Cherokee,Amaretto,1817,229
Cherokee,Schnapps,35763,2536
Coralville,Misc,502356,26859
Coralville,Whisky,1812350,84017
Coralville,Brandy,180339,7515
Coralville,Rum,543617,37057
Coralville,Vodka,1290453,92663
Coralville,Schnapps,149585,9936
Coralville,Tequila,419865,23814
Coralville,Gin,213464,12520
Coralville,Amaretto,22690,1480
Coralville,Distilled Spirits,11553,543
Oskaloosa,Misc,104526,6300
Oskaloosa,Vodka,265644,25400
Oskaloosa,Whisky,452791,27758
Oskaloosa,Distilled Spirits,13900,1267
Oskaloosa,Gin,24035,1985
Oskaloosa,Rum,162188,11737
Oskaloosa,Brandy,35986,2497
Oskaloosa,Tequila,59290,3939
Oskaloosa,Amaretto,7385,783
Oskaloosa,Schnapps,59708,4697
Fairfield,Gin,21218,1556
Fairfield,Misc,71499,4118
Fairfield,Whisky,307302,17641
Fairfield,Rum,125181,9091
Fairfield,Brandy,17039,1102
Fairfield,Vodka,178949,16470
Fairfield,Schnapps,31685,2481
Fairfield,Tequila,45192,2406
Fairfield,Distilled Spirits,5203,234
Fairfield,Amaretto,3710,360
Webster City,Misc,56268,3967
Webster City,Whisky,276170,20520
Webster City,Brandy,29862,1745
Webster City,Rum,93975,6889
Webster City,Vodka,143920,15565
Webster City,Schnapps,28597,2194
Webster City,Tequila,38052,2577
Webster City,Distilled Spirits,3115,164
Webster City,Gin,12540,1153
Webster City,Amaretto,2129,238
Bettendorf,Misc,552423,29876
Bettendorf,Whisky,1550919,76875
Bettendorf,Tequila,433878,22050
Bettendorf,Vodka,1304133,99918
Bettendorf,Rum,588841,41913
Bettendorf,Brandy,69176,4090
Bettendorf,Schnapps,290953,19110
Bettendorf,Distilled Spirits,9208,437
Bettendorf,Gin,184589,12104
Bettendorf,Amaretto,22200,2181
Le Mars,Misc,119371,6620
Le Mars,Whisky,519089,35579
Le Mars,Brandy,30911,2628
Le Mars,Rum,218329,15011
Le Mars,Vodka,226007,19487
Le Mars,Tequila,74429,5181
Le Mars,Distilled Spirits,5500,286
Le Mars,Gin,24907,1891
Le Mars,Amaretto,4279,411
Le Mars,Schnapps,74943,5811
Humboldt,Misc,52570,3473
Humboldt,Tequila,27405,1941
Humboldt,Whisky,249570,18585
Humboldt,Brandy,12867,1149
Humboldt,Rum,98193,7061
Humboldt,Gin,7677,706
Humboldt,Vodka,110381,11300
Humboldt,Distilled Spirits,2495,115
Humboldt,Amaretto,3261,367
Humboldt,Schnapps,27552,1864
Perry,Vodka,124721,13042
Perry,Gin,9682,859
Perry,Brandy,13233,1059
Perry,Tequila,35876,2041
Perry,Amaretto,1431,128
Perry,Distilled Spirits,3238,160
Council Bluffs,Misc,960839,54763
Council Bluffs,Whisky,3093617,174676
Council Bluffs,Vodka,1825915,161991
Council Bluffs,Rum,1218313,86633
Council Bluffs,Brandy,197856,11074
Council Bluffs,Schnapps,454037,30062
Council Bluffs,Tequila,658976,35399
Council Bluffs,Distilled Spirits,62841,5971
Council Bluffs,Gin,200073,14592
Council Bluffs,Amaretto,45717,4281
Clinton,Misc,293587,19243
Clinton,Whisky,775384,47199
Clinton,Vodka,652662,60338
Clinton,Brandy,144738,7295
Clinton,Rum,445464,33239
Clinton,Tequila,213238,13740
Clinton,Distilled Spirits,11186,657
Clinton,Gin,60080,5252
Clinton,Amaretto,15453,1770
Clinton,Schnapps,236099,16415
Eldora,Misc,12857,836
Eldora,Whisky,108891,8188
Eldora,Gin,6638,602
Eldora,Vodka,63218,7421
Eldora,Rum,32957,2353
Eldora,Brandy,6333,571
Eldora,Tequila,5730,417
Eldora,Amaretto,1200,146
Eldora,Schnapps,8022,646
Eldora,Distilled Spirits,397,33
Pella,Misc,86536,5220
Pella,Whisky,318265,18538
Pella,Vodka,182107,15479
Pella,Rum,134545,9687
Pella,Brandy,15744,1010
Pella,Tequila,61980,4304
Pella,Distilled Spirits,5252,232
Pella,Gin,23316,1937
Pella,Amaretto,5639,608
Pella,Schnapps,35295,2437
Harlan,Misc,58511,3392
Harlan,Vodka,130789,12612
Harlan,Whisky,317777,21005
Harlan,Brandy,11257,874
Harlan,Rum,133176,9941
Harlan,Amaretto,2298,274
Harlan,Tequila,39204,2576
Harlan,Distilled Spirits,2589,121
Harlan,Gin,10047,656
Harlan,Schnapps,36161,2632
Waverly,Misc,114615,7037
Waverly,Vodka,304344,28575
Waverly,Tequila,71390,4899
Waverly,Brandy,30233,2381
Waverly,Whisky,514609,35259
Waverly,Rum,233452,17303
Waverly,Distilled Spirits,6104,394
Waverly,Gin,31265,2469
Waverly,Amaretto,5382,547
Waverly,Schnapps,66754,5165
Bedford,Whisky,30677,2173
Bedford,Gin,428,51
Bedford,Vodka,9896,1047
Bedford,Misc,4036,290
Bedford,Rum,9052,588
Bedford,Brandy,409,32
Bedford,Tequila,1377,78
Bedford,Amaretto,512,37
Bedford,Schnapps,2933,250
Bedford,Distilled Spirits,269,12
Mount Ayr,Misc,15809,1116
Mount Ayr,Whisky,64896,4424
Mount Ayr,Vodka,24291,2493
Mount Ayr,Brandy,2324,220
Mount Ayr,Rum,12194,920
Mount Ayr,Gin,2131,203
Mount Ayr,Tequila,5716,418
Mount Ayr,Amaretto,1355,152
Mount Ayr,Schnapps,9758,822
Mount Ayr,Distilled Spirits,798,42
Corydon,Misc,8357,584
Corydon,Whisky,42753,2908
Corydon,Gin,2583,245
Corydon,Vodka,16445,1588
Corydon,Rum,11890,885
Corydon,Brandy,1401,135
Corydon,Tequila,2999,210
Corydon,Schnapps,6162,555
Corydon,Distilled Spirits,655,34
Corydon,Amaretto,762,52
Sioux Center,Misc,56836,3289
Sioux Center,Tequila,31820,1918
Sioux Center,Whisky,246690,17243
Sioux Center,Brandy,12248,879
Sioux Center,Rum,137058,9465
Sioux Center,Vodka,124714,11548
Sioux Center,Gin,9627,850
Sioux Center,Amaretto,4945,402
Sioux Center,Schnapps,35295,2737
Sioux Center,Distilled Spirits,3167,144
Sheldon,Vodka,117169,11444
Sheldon,Misc,66625,4364
Sheldon,Amaretto,3419,366
Sheldon,Whisky,329895,25017
Sheldon,Rum,153026,10729
Sheldon,Brandy,27067,2253
Sheldon,Schnapps,44051,3723
Sheldon,Tequila,32394,1933
Sheldon,Distilled Spirits,6323,480
Sheldon,Gin,19121,1660
Waukee,Misc,120574,6929
Waukee,Vodka,340306,24912
Waukee,Whisky,443719,21583
