city,high.school,bachelor,unemployment,income,population,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi
Colwell,97.1,11.4,2.1,,67,67,0,0,0,0,0,0
Conesville,63.8,3.3,9.7,24265,617,528,0,0,21,0,62,6
Conrad,93.5,23.5,4.8,36484,1073,1070,0,0,3,0,0,0
Conroy,95.6,14.5,0,38375,375,375,0,0,0,0,0,0
Conway,100,13.3,28.6,,19,19,0,0,0,0,0,0
Coon Rapids,91.4,20.6,3.8,30801,1371,1358,0,9,0,0,0,4
Coppock,86.2,0,0,29167,49,49,0,0,0,0,0,0
Coralville,95.5,55.4,2.9,35773,20078,15437,2270,9,1846,0,333,183
Corley,100,72.4,0,,29,29,0,0,0,0,0,0
Corning,88.2,19,3.2,30058,1598,1559,5,0,12,0,3,19
Correctionville,86.1,15.1,5.8,27135,829,818,0,0,2,0,0,9
Corwith,85.3,16.2,8.1,25179,230,230,0,0,0,0,0,0
Corydon,91,16.1,4.1,27500,1544,1508,18,12,4,0,0,2
Cotter,100,0,9.1,43750,38,38,0,0,0,0,0,0
Coulter,91.1,8.2,6.8,40625,214,205,3,0,6,0,0,0
Council Bluffs,87.7,18,5.4,30096,62326,57736,1249,231,565,5,1187,1353
Craig,92.5,26.4,8,25875,92,92,0,0,0,0,0,0
Crawfordsville,93.1,11.1,1.2,29625,261,255,0,0,0,0,0,6
Crescent,90.5,20.9,2.2,40550,522,511,0,0,0,0,0,11
Cresco,90.7,15.1,4.3,30165,3839,3730,18,0,0,0,2,89
Creston,93,16.7,3.4,26244,7877,7589,122,24,66,7,0,69
Cromwell,95.8,15.3,0,28750,102,102,0,0,0,0,0,0
Crystal Lake,92.9,3.9,0.9,31719,202,201,0,0,0,0,1,0
Cumberland,89,19.5,1.9,24141,250,250,0,0,0,0,0,0
Cumming,98.9,48.7,1.7,61406,415,407,0,0,1,0,0,7
Curlew,98.1,9.6,0,26538,73,73,0,0,0,0,0,0
Cushing,93.9,13.6,1.3,33750,218,216,0,0,2,0,0,0
Cylinder,95.5,20.5,0,41250,76,76,0,0,0,0,0,0
Dakota City,90.6,9.2,2.8,31250,713,711,0,0,0,0,0,2
Dallas Center,96.3,35.4,3.3,37052,1851,1844,0,2,3,0,0,2
Dana,86.5,3.8,6.8,20000,78,78,0,0,0,0,0,0
Danbury,85.1,9.5,6.4,26375,407,396,0,11,0,0,0,0
Danville,94.7,19.4,1.9,31389,1079,1018,18,0,2,0,0,41
Davenport,91.2,26.7,5.1,30275,102305,83300,11694,331,2240,17,1412,3311
Davis City,79.6,3.5,10.8,21528,208,205,0,0,0,0,0,3
Dawson,96.3,11.2,0,24750,158,144,0,0,14,0,0,0
Dayton,88.8,14,3.9,26071,704,678,0,3,0,0,4,19
Decatur City,84.4,7.4,2,29091,205,203,0,0,0,0,0,2
Decorah,95.6,41.6,2.4,12340,7985,7639,152,33,79,0,22,60
Dedham,95.3,8.8,0.8,34688,256,256,0,0,0,0,0,0
Deep River,83.9,4.6,10,20500,252,232,0,0,0,0,10,10
Defiance,86.2,8.3,11.2,26250,240,229,0,0,0,0,10,1
Delaware,97.2,15.7,1,34000,133,130,0,0,0,0,0,3
Delhi,93.6,22.5,0,32000,445,443,0,0,0,0,2,0
Delmar,92.8,16.8,5.4,31597,497,472,0,17,0,0,6,2
Deloit,78.6,6.8,11.5,26818,372,308,39,0,0,0,14,11
Delphos,58.3,0,0,20625,15,15,0,0,0,0,0,0
Delta,74.8,6.9,2,22679,246,245,0,0,0,0,0,1
Denison,66.1,10.7,6.2,30187,8326,7556,244,42,31,0,270,183
Denmark,79.5,16.4,10.1,27888,299,299,0,0,0,0,0,0
Denver,97.5,25.4,1.2,36106,1814,1773,5,0,22,0,0,14
Derby,80,2.2,7.4,,133,98,0,0,0,0,0,35
