county,category,sale.dollars,sale.volume
Crawford,Gin,18770,1631
Crawford,Amaretto,5271,548
Cherokee,Misc,60994,4073
Cherokee,Tequila,27513,1540
Cherokee,Whisky,312013,23201
Cherokee,Brandy,20122,1600
Cherokee,Rum,106449,7368
Cherokee,Distilled Spirits,7574,800
Cherokee,Gin,18085,1522
Cherokee,Vodka,119897,12057
Cherokee,Amaretto,1932,244
Cherokee,Schnapps,37613,2697
Mahaska,Misc,104862,6317
Mahaska,Vodka,267717,25629
Mahaska,Whisky,460294,28193
Mahaska,Distilled Spirits,14123,1276
Mahaska,Gin,24086,1991
Mahaska,Rum,165343,11938
Mahaska,Brandy,36103,2507
Mahaska,Tequila,59604,3956
Mahaska,Amaretto,7400,785
Mahaska,Schnapps,60290,4733
Jefferson,Gin,21218,1556
Jefferson,Misc,71499,4118
Jefferson,Whisky,307302,17641
Jefferson,Rum,125181,9091
Jefferson,Brandy,17039,1102
Jefferson,Vodka,178949,16470
Jefferson,Schnapps,31685,2481
Jefferson,Tequila,45192,2406
Jefferson,Distilled Spirits,5203,234
Jefferson,Amaretto,3710,360
Hamilton,Misc,63166,4315
Hamilton,Whisky,325369,24414
Hamilton,Brandy,32921,1999
Hamilton,Rum,114379,8383
Hamilton,Vodka,176283,19101
Hamilton,Schnapps,33180,2549
Hamilton,Tequila,40711,2702
Hamilton,Distilled Spirits,3431,178
Hamilton,Gin,14333,1313
Hamilton,Amaretto,2420,281
Plymouth,Misc,133600,7423
Plymouth,Whisky,615048,42091
Plymouth,Brandy,40659,3505
Plymouth,Rum,254808,17370
Plymouth,Vodka,268578,24143
Plymouth,Tequila,79596,5499
Plymouth,Distilled Spirits,5904,304
Plymouth,Gin,27107,2090
Plymouth,Amaretto,4931,510
Plymouth,Schnapps,90247,6991
Humboldt,Misc,53489,3511
Humboldt,Tequila,29102,2016
Humboldt,Whisky,260933,19343
Humboldt,Brandy,13430,1197
Humboldt,Rum,103578,7459
Humboldt,Gin,7877,720
Humboldt,Vodka,121886,12742
Humboldt,Distilled Spirits,2725,124
Humboldt,Amaretto,3304,374
Humboldt,Schnapps,27901,1897
Dallas,Vodka,582588,49915
Dallas,Gin,53943,3787
Dallas,Brandy,34463,2446
Dallas,Tequila,134630,9037
Dallas,Amaretto,5809,448
Dallas,Distilled Spirits,13625,603
Pottawattamie,Distilled Spirits,65922,6113
Clinton,Misc,325744,21467
Clinton,Whisky,938334,58739
Clinton,Vodka,755073,70954
Clinton,Brandy,154560,8056
Clinton,Rum,504582,37396
Clinton,Tequila,232579,14901
Clinton,Distilled Spirits,14747,947
Clinton,Gin,73020,6678
Clinton,Amaretto,18127,2096
Clinton,Schnapps,262643,18827
Shelby,Misc,58511,3392
Shelby,Vodka,130789,12612
Shelby,Whisky,317777,21005
Shelby,Brandy,11257,874
Shelby,Rum,133176,9941
Shelby,Amaretto,2298,274
Shelby,Tequila,39204,2576
Shelby,Distilled Spirits,2589,121
Shelby,Gin,10047,656
Shelby,Schnapps,36161,2632
Bremer,Misc,137292,8384
Bremer,Vodka,357142,34371
Bremer,Tequila,81558,5547
Bremer,Brandy,40976,3437
Bremer,Whisky,665938,47591
Bremer,Rum,317573,23389
Bremer,Distilled Spirits,7044,447
Bremer,Gin,37452,2914
Bremer,Amaretto,6463,663
Bremer,Schnapps,93232,7445
Taylor,Whisky,50673,3431
Taylor,Gin,1060,106
Taylor,Vodka,19477,2311
Taylor,Misc,7434,510
Taylor,Rum,12792,838
Taylor,Brandy,1594,139
Taylor,Tequila,5730,319
Taylor,Amaretto,1021,70
