zipcode,high.school,bachelor,unemployment,income,population,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi
50310,90.8,34.2,4.4,32349,32300,24933,3559,211,2372,41,186,998
50311,90,42.3,7.6,20477,15460,11728,1606,202,642,2,610,670
50312,95.2,55.2,3.4,38275,15713,14081,632,1,575,0,40,384
50313,83.9,15,8.6,26832,18300,15337,1438,30,655,0,375,465
50314,78.7,18.8,12.8,21547,12102,6087,3434,55,1149,0,792,585
50315,88.6,16.4,7.4,29366,35577,29867,2880,243,1221,0,691,675
50316,75.8,11.6,10,23177,17443,11449,3081,10,1258,14,687,944
50317,86.1,12.6,9,28282,37148,31838,2254,114,764,46,881,1251
50319,,,,,0,0,0,0,0,0,0,0
50320,87.7,20.3,5.3,29962,21603,15565,2669,77,1770,0,845,677
50321,90.9,34,5.7,30429,9007,6925,1398,33,265,0,92,294
50322,94.7,41.1,4.2,38763,31168,27267,1517,27,1027,107,175,1048
50323,99.6,66.4,3.2,62005,12678,11526,177,0,734,0,0,241
50324,94.5,47,6.4,37525,4980,4319,26,0,189,0,249,197
50325,94.9,54,3.3,45433,16937,15253,357,59,761,0,235,272
50327,91.5,34,2.1,40480,11156,10320,312,25,202,8,102,187
50401,92.7,21.5,4.9,27457,29216,27442,586,93,349,0,179,567
50420,92.5,16.4,6.6,32750,366,363,3,0,0,0,0,0
50421,92.2,13.8,3,31977,3336,3173,0,0,22,0,106,35
50423,89.1,15.9,3.8,33407,2789,2715,19,3,5,0,23,24
50424,92,26.3,3,31215,1414,1403,0,0,0,0,0,11
50426,88.2,11.8,14.3,27250,24,24,0,0,0,0,0,0
50428,93.8,25.7,2.1,30471,9424,9084,58,25,134,0,47,76
50430,89.5,22.2,4.1,30714,440,440,0,0,0,0,0,0
50431,93.4,7.3,7.2,41354,205,196,3,0,6,0,0,0
50432,92.9,3.9,0.9,31719,202,201,0,0,0,0,1,0
50433,97.1,20.4,15.8,26625,174,174,0,0,0,0,0,0
50434,93.4,12.6,1.3,30486,389,381,0,0,2,0,0,6
50435,90.6,10.9,1.8,33140,702,689,0,0,4,2,0,7
50436,92.1,21.7,7.3,28580,5984,5630,89,3,111,0,18,133
50438,96.1,27.1,0,32699,3964,3876,13,0,0,9,1,65
50439,96,20.1,1.3,27500,322,319,0,0,0,0,3,0
50440,93.6,13.3,0,32167,662,651,6,0,0,0,0,5
50441,85.4,19.6,5.2,30643,5537,4915,99,5,0,0,412,106
50444,96.7,17.5,5.3,30556,373,365,0,0,3,0,0,5
50446,95.7,19.3,3.4,27857,539,536,0,0,0,1,0,2
50447,87.8,14.4,3.8,30000,1199,1139,13,12,25,0,0,10
50448,94.2,12.3,10.4,25118,847,842,5,0,0,0,0,0
50449,95.2,7.4,5.6,21941,698,676,13,0,0,0,1,8
50450,89.8,21.3,7.1,31796,2646,2549,0,69,0,0,7,21
50451,93,14.3,1.5,26151,449,442,0,0,0,0,4,3
50452,84.4,20.4,3.4,26900,810,742,29,3,14,0,17,5
50453,96.7,17.5,1,26250,576,555,12,0,9,0,0,0
50454,82.4,0,0,36500,68,68,0,0,0,0,0,0
50455,73.3,2.1,1.2,16250,648,607,0,0,0,0,0,41
50456,89.2,12.7,5.1,22500,1888,1808,6,4,2,0,5,63
50457,98.3,11.2,0.6,27222,308,308,0,0,0,0,0,0
50458,93.1,16.7,2.7,31138,2102,2055,10,0,0,0,2,35
50459,92.2,17.5,8.6,29427,2683,2583,51,2,7,0,0,40
50460,80.8,28.5,3.3,36797,383,379,0,0,4,0,0,0
50461,93.6,17.1,3.8,30769,5684,5583,9,26,0,0,6,60
50464,88.9,15.6,4.9,31974,498,492,1,0,3,0,0,2
50465,82.6,15.2,2,16607,279,243,0,9,0,0,9,18
50466,87.7,11.5,6.4,32143,1723,1681,0,0,0,0,0,42
50467,98.2,8.9,0,31563,73,72,0,0,1,0,0,0
50468,95.4,18,4.7,31699,1481,1470,7,0,0,0,4,0
50469,95,13.6,2.1,37007,1612,1574,32,0,0,0,0,6
50470,83.2,10.2,11.9,30417,191,174,0,0,0,0,1,16
50471,90.1,11.2,4.2,21357,704,688,7,0,0,0,0,9
50472,92.7,16.5,2.1,30779,2216,2180,0,0,36,0,0,0
50473,92.7,33.8,0,42500,254,253,0,0,0,1,0,0
50475,91.3,14.8,5.8,30159,1885,1867,0,0,4,0,4,10
50476,88,8.2,0.7,31442,800,795,0,0,0,0,0,5
50477,97.9,15.3,7.5,23214,320,285,0,0,0,0,0,35
50478,91.2,13.6,4.5,28906,867,849,0,0,9,0,6,3
50479,94.3,17.9,6.5,27917,574,558,5,0,1,0,3,7
50480,93.9,12.9,2.4,28445,926,911,6,0,0,0,4,5
50482,98.2,23.9,1.6,32310,871,871,0,0,0,0,0,0
50483,92.8,15.6,1.1,29943,647,635,4,0,1,0,0,7
50484,89.7,15.3,2.7,25972,414,350,19,4,0,0,5,36
50501,90.5,22.2,7.4,23606,28015,25118,1616,99,427,0,348,407
50510,94.4,22.9,4.3,35313,1004,964,17,0,2,0,7,14
50511,95.3,24.4,0.9,33404,7184,7024,6,0,69,0,43,42
50514,90.6,12.6,3.8,30096,1427,1417,0,0,0,0,0,10
50515,95.3,22.7,8.4,27083,238,232,0,0,0,0,0,6
50516,96.6,18.8,3.1,30938,602,596,0,0,0,3,0,3
50517,97,16.8,2,28906,983,943,24,0,0,0,8,8
50518,89.3,17.6,0,32386,447,447,0,0,0,0,0,0
50519,92.7,10.9,8.3,25240,696,694,0,0,0,0,0,2
50520,95.5,4.5,4,28542,80,79,0,0,0,0,0,1
50521,84.4,5.2,9.8,11211,245,245,0,0,0,0,0,0
50522,90.3,15.4,3.2,32833,813,793,9,3,4,0,2,2
50523,88.2,9.6,5.4,30515,779,776,0,0,0,0,3,0
50524,89.7,14.5,1.9,28854,562,562,0,0,0,0,0,0
50525,88.9,21.9,7.1,29799,3455,2939,24,0,49,0,387,56
50527,95.3,31.9,0,26250,246,246,0,0,0,0,0,0
50528,96.3,16.9,0,34000,329,329,0,0,0,0,0,0
50529,90.5,9.3,2.9,31250,707,705,0,0,0,0,0,2
50530,91.8,14.6,2.3,31989,1223,1197,0,3,0,0,4,19
50531,81.9,3.9,8.8,38421,239,239,0,0,0,0,0,0
50532,94.3,11.5,2.8,30833,1000,1000,0,0,0,0,0,0
50533,88.1,16.4,9,27930,3885,3767,11,24,0,0,36,47
50535,93.1,16.9,4.6,29647,944,895,36,0,0,0,0,13
50536,93.9,24.5,1.2,28774,4557,4323,152,9,38,0,0,35
50538,95.4,14.9,6.6,31250,499,497,0,0,0,0,0,2
50539,95.5,16.7,8.3,30313,623,621,0,0,0,0,0,2
50540,89.2,15.8,3.4,27500,798,778,2,0,0,2,0,16
50541,93.9,14.6,6.3,31213,890,888,0,0,2,0,0,0
50542,92,12.7,1.9,35645,862,860,0,0,2,0,0,0
50543,91.3,25.1,5.7,35665,1458,1376,3,12,6,0,0,61
50544,94.1,22,1.5,36696,423,405,0,14,0,0,0,4
50545,82.8,22.5,6,28036,251,244,7,0,0,0,0,0
50546,91.9,14.8,4.2,30903,293,264,0,0,0,8,0,21
50548,94.1,24.9,3,30277,5659,5489,42,12,22,0,4,90
50551,88.9,26.5,0,35833,168,168,0,0,0,0,0,0
50554,93.1,18.3,2.1,31765,1578,1457,54,6,16,0,19,26
50556,93.5,4.5,0.9,30179,281,274,0,0,0,0,0,7
50557,89.3,9.6,8.7,29625,785,764,0,12,0,0,0,9
50558,93.4,15.4,4.4,30058,761,756,0,0,0,0,0,5
50559,90,22.5,7.1,26346,334,298,1,0,1,0,0,34
50560,84.2,10.8,4,23631,563,536,4,0,0,0,0,23
50561,92.7,21.5,1.3,25662,367,363,0,0,0,0,0,4
50562,95,14.8,11.8,24375,471,465,2,0,0,0,0,4
50563,94.8,15,6.1,30288,2546,2453,7,4,2,0,12,68
50565,89.6,12.5,11.2,24712,479,462,0,0,0,0,12,5
50566,91.3,26.1,1,27768,441,426,15,0,0,0,0,0
50567,87.3,28,4.5,22260,295,289,0,0,0,0,6,0
50568,89.2,20.7,2.2,35245,1656,1562,0,4,0,0,87,3
50569,84.2,9.4,9.7,26213,662,656,0,0,0,0,3,3
50570,86.3,5.9,0,30000,199,189,0,4,0,0,0,6
50571,91.6,11.3,0,28214,434,425,9,0,0,0,0,0
50573,100,4.7,6.1,30682,51,51,0,0,0,0,0,0
50574,95.3,16.4,5.5,30556,2033,1985,38,0,0,0,0,10
50575,94.8,19.9,2.1,33846,1170,1128,27,5,0,0,0,10
50576,80.9,15,8.7,31528,360,348,3,0,0,0,9,0
50577,94.1,21.6,2.8,36250,412,383,4,3,1,0,0,21
50578,92.9,14.3,6.1,30337,663,648,0,0,0,0,0,15
50579,92.7,17.5,1.6,21272,2779,2598,103,19,9,0,7,43
50581,89.2,17.9,2.9,28333,952,915,0,0,0,0,30,7
50582,97,9,0.7,30750,242,240,0,0,0,0,0,2
50583,92.6,17.9,4.7,30703,2878,2804,6,0,0,0,2,66
50585,94.1,18.7,1.2,30865,1152,1144,2,0,0,0,2,4
50586,93.4,9.6,4.5,31103,275,257,0,0,2,0,2,14
50588,69.5,17.4,5.1,23581,12810,9056,558,0,1696,223,1035,242
50590,91.7,14.3,0.6,25739,920,860,0,19,12,0,16,13
50591,91.6,16.7,0.6,31667,311,299,0,0,3,0,0,9
50593,84.4,11.1,0,16071,77,77,0,0,0,0,0,0
50594,89.4,15.2,0,30893,177,164,0,0,0,0,13,0
50595,91,21.2,2.7,31414,9125,8407,72,0,364,0,269,13
50597,94.4,16.6,0.7,28426,1231,1190,3,3,1,0,12,22
50598,97.7,14.7,2,30134,826,807,12,5,0,0,2,0
