"zipcode","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume"
50054,95,18.9,9.6,33107,2908,2766,7,0,9,21,23,82,"Gin",1282,113
50054,95,18.9,9.6,33107,2908,2766,7,0,9,21,23,82,"Whisky",46633,3568
50054,95,18.9,9.6,33107,2908,2766,7,0,9,21,23,82,"Misc",5135,333
50054,95,18.9,9.6,33107,2908,2766,7,0,9,21,23,82,"Tequila",5962,347
50055,95.8,10.9,1,31838,917,905,3,0,2,0,0,7,NA,NA,NA
50056,93.4,24.4,3.5,32994,1459,1428,0,0,5,0,17,9,"Gin",143,9
50056,93.4,24.4,3.5,32994,1459,1428,0,0,5,0,17,9,"Vodka",8667,971
50056,93.4,24.4,3.5,32994,1459,1428,0,0,5,0,17,9,"Tequila",805,35
50056,93.4,24.4,3.5,32994,1459,1428,0,0,5,0,17,9,"Schnapps",813,73
50056,93.4,24.4,3.5,32994,1459,1428,0,0,5,0,17,9,"Distilled Spirits",249,9
50056,93.4,24.4,3.5,32994,1459,1428,0,0,5,0,17,9,"Misc",1126,52
50056,93.4,24.4,3.5,32994,1459,1428,0,0,5,0,17,9,"Amaretto",109,15
50056,93.4,24.4,3.5,32994,1459,1428,0,0,5,0,17,9,"Brandy",207,12
50056,93.4,24.4,3.5,32994,1459,1428,0,0,5,0,17,9,"Rum",5456,358
50056,93.4,24.4,3.5,32994,1459,1428,0,0,5,0,17,9,"Whisky",21491,1498
50057,90.6,26.8,0,20179,256,256,0,0,0,0,0,0,NA,NA,NA
50058,93.1,19.4,3.1,31714,2107,2084,0,9,0,0,0,14,"Tequila",1470,64
50058,93.1,19.4,3.1,31714,2107,2084,0,9,0,0,0,14,"Gin",779,67
50058,93.1,19.4,3.1,31714,2107,2084,0,9,0,0,0,14,"Amaretto",204,29
50058,93.1,19.4,3.1,31714,2107,2084,0,9,0,0,0,14,"Brandy",789,59
50058,93.1,19.4,3.1,31714,2107,2084,0,9,0,0,0,14,"Schnapps",2828,219
