"county","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume"
"Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Gin",13519,1400
"Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Brandy",9379,792
"Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Gin",127047,9328
"Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Schnapps",237926,17719
"Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Distilled Spirits",22001,1140
"Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Tequila",387144,26184
"Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Vodka",1373412,129311
"Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Rum",759626,55669
"Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Brandy",158610,10723
"Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Amaretto",23397,2395
"Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Whisky",1904800,131745
"Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Misc",488281,31649
"Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Schnapps",37613,2697
"Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Misc",60994,4073
"Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Tequila",27513,1540
"Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Vodka",119897,12057
"Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Whisky",312013,23201
"Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Distilled Spirits",7574,800
"Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Gin",18085,1522
"Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Rum",106449,7368
"Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Amaretto",1932,244
"Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,"Brandy",20122,1600
"Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Tequila",10289,580
"Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Whisky",141705,12347
"Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Gin",2857,296
"Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Amaretto",1065,136
"Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Distilled Spirits",1195,69
